;;Mes anterior;1Q JUL;;Mes actual;1Q AGO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;julio;2Q JUL;;agosto;2Q AGO;;;;;Nota:;Las formulas de Martella pond acumulado y The Rock pond acumulado son diferentes para obras con periodo de arranque 1Q y 2Q, ver bien eso al agregar una nueva obra a la base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Martella pond mensual;0.88;0.93;0.92;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;40.00%;Relación;33.33%;Relación;;;;;;;;;;;;;;;;;
KWG;;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;ene-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;The Rock pond mensual;0.13;0.60;0.00;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;;;;12;días del 1 al 12/6;12;días del 20 al 31/7;;;;;;;;;;;;;;;;;
KWG;;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;ene-27;;;;;;;;;;;;;;;;40.00%;Relación total mes (sobre 30 dias);38.71%;Relación total mes (sobre 31 días);;;;;;;;;;;;;;;;;
KWG;Martella pond acumulado;0.88;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;The Rock pond acumulado;0.13;0.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;ene-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Pase licitacion;1.29;1.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;ene-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Pase esperado;1.29;1.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;ene-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Coef de pase;1.00;1.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;;may-26;jun-26;jul-26;ago-26;sept-26;oct-26;nov-26;dic-26;ene-27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Certificado real; $ 3,615,773 ; $ 24,668,157 ; $ 41,647,635 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Certificado previsto; $ 3,615,773 ; $ 24,668,157 ; $ 41,647,635 ; $ 54,054,194 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Adicionales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Avance acumulado;0.25%;1.92%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Avance proyectado;0.25%;1.92%;4.75%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KWG;Avance inicial;0.25%;1.92%;4.75%;8.42%;10.98%;17.00%;23.27%;30.74%;38.25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LMB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;0;0;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Hs reales;208;299;750;831;540;766;1056;1317;1170;940;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;0;0;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;Martella;1.36;0.95;0.97;0.97;0.96;0.95;0.98;1.00;0.98;0.98;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;;1Q FEB 26;2Q FEB 26;1Q MAR 26;2Q MAR 26;1Q ABR 26;2Q ABR 26;1Q MAY 26;2Q MAY 26;1Q JUN 26;2Q JUN 26;0;0;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LMB;The Rock;0.26;0.44;0.63;0.69;1.33;0.74;0.73;1.48;0.40;0.76;0.00;0.00;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
